fkh,P32
spn-F,ik2
spn-F,Vti1
spn-F,CG8116
spn-F,CG8141
CG12115,CG15185
CG12116,cv-d
CG12116,grim
CG12116,CG7029
CG12116,Odc2
CG12116,Odc1
CG12116,CG9773
p130CAS,Pax
p130CAS,CG5525
p130CAS,CG9098
mxc,Vha36-2
CG12129,CG17660
CG1213,CG3164
c11.1,CG5984
Etf-QO,CG12379
Tsp42Ej,CG6020
CG12155,Arr1
CG12159,CG31792
mri,mri
mri,TwdlF
mri,CG17806
mri,CG4854
mri,Pp1-87B
mri,bip1
Prosbeta2R2,Hsp23
CG12162,CG4538
CG12171,CG31549
CG12171,mTerf3
CG12171,DNaseII
CG12173,CG14089
Nhe1,nompB
CG12179,dlg1
CG1218,CG12375
CG12182,Fadd
CG12182,Cpr67Fa2
Or22a,Ance-2
Or22a,CG17134
CG12194,raw
CG12200,CG18619
CG12200,RAF2
Nat1,CG9922
mei-P26,me31B
skpF,CG14053
skpF,CG33017
skpF,CG33144
skpF,CG9316
CG12229,inaC
Arp10,Tbp
mRpS22,CG14480
CG12262,mbt
CG12268,CG15561
angel,subdued
Aos1,CG18178
CG12289,CG16758
CG12289,CG7335
CG12289,wntD
Fadd,imd
Fadd,ari-2
Fadd,Dredd
sub,CG31743
sub,CG7069
CG12301,CG15546
CG12304,CG17564
CG12304,Aats-asp
CG12304,CG9213
polo,by
CG1231,Hdac3
CG12321,eas
Prosbeta5,esg
Prosbeta5,LSm1
CG12333,KrT95D
Atg8b,Atg4a
cag,cag
Cbp20,CG7185
CG12362,CycK
CG12362,UbcD10
CG12362,CG8004
Dlc90F,metl
Dlc90F,Fur2
Dlc90F,rap
Dlc90F,CG31145
Dlc90F,Hsp67Bc
Dlc90F,CG5359
Dlc90F,Oli
Dlc90F,UbcD2
O-fut1,CG42733
O-fut1,CG9784
Lac,CG5846
CG12374,CG18094
CG43330,List
CG43330,CG15143
CG43330,CG15440
CG43330,CG6937
CG12379,CG17802
CG12379,CG2091
CG12379,fd3F
CG12379,CG4286
zetaTry,Pex19
zetaTry,ItgalphaPS5
Fpps,CG17134
Fpps,vas
Fpps,GstE1
CG12391,CG9331
CG12393,Ocrl
Nnp-1,CG12620
Mad,CG5903
Mad,CG8993
CG12404,CG5484
CG12404,Patsas
TpnC4,Blos2
Hsp83,spag
CG12426,Slob
CG12428,CG3016
CG12428,CG3529
CG43658,Syx16
CG43658,Frq2
CG43996,CG13871
raw,CG14671
raw,pix
CG12448,Cam
Pka-R1,wdb
CG1246,CG2107
CG12470,mwh
CG12470,CG14356
CG12470,CG14424
CG12470,Sec24AB
CG12470,CG14864
CG12470,PPYR1
CG12470,CG15561
CG12470,CG15597
CG12470,Neto
CG12470,dlg1
CG12470,Rab23
CG12470,Arl4
CG12470,Zasp52
CG12470,CG42672
CG12470,CG43340
CG12470,CG3078
CG12470,CG31029
CG12470,CG31999
CG12470,CG33017
CG12470,TwdlW
CG12470,Hsp67Bc
CG12470,CG4199
CG12470,CG4286
CG12470,noc
CG12470,imd
CG12470,CG5854
CG12470,Prp18
CG12470,bora
CG12470,CG7357
CG12470,CG7406
CG12470,CG7611
CG12470,CG7860
CG12470,CG8245
CG12470,Ef1alpha48D
CG12470,hng1
CG12477,CG4270
bru-3,TwdlC
SmD2,SmF
SmD2,CG6610
SmD2,Snx6
CG12491,CG31122
CG12491,CG6843
CG34355,SppL
CG12496,CG5280
CG12498,Zasp52
Sec23,CG8121
Or56a,mus304
Arc1,Cpr64Ad
CG12506,Sgt
CG12511,mtacp1
CG12517,stl
CG12521,Pi3K21B
Zw,spn-B
AP-1-2beta,CG16704
AP-1-2beta,CG17360
AP-1-2beta,lqfR
AP-1-2beta,babo
CG12540,CG17829
nompB,wac
rl,rl
rl,Ccp84Ad
rl,Mekk1
CG12560,Tpc1
CG12567,Cpr66D
CG12576,Tsp42Ek
CG12576,CG2898
CG12576,cal1
CG12576,CG7542
pav,CG31368
CG12581,CG3085
CG12581,Cka
CG12581,Jon25Bii
CG12589,CG13083
CG12589,CG3085
Cpr64Ad,CG34324
Cpr64Ad,sinah
Cpr64Ad,CG15370
Cpr64Ad,CG15771
Cpr64Ad,ssx
Cpr64Ad,gudu
Cpr64Ad,Rab26
Cpr64Ad,rau
Cpr64Ad,CG9572
CG12607,CG15422
CG12607,mod(mdg4)
CG12608,CG8841
CG12609,CG15533
CG12609,Elba3
CG12609,Tim8
CG12620,Nop17l
CG12620,CG16812
CG12620,CG45105
CG12620,ZAP3
CG12620,Pp1-87B
CG12620,RhoGAP54D
CG12620,CG9238
fd3F,X11L
btd,CG15545
CG34331,Pebp1
CG12659,fand
CG12661,CG15529
CG12661,CG2865
fend,sba
CG12672,SP555
CG12672,Cyp28d2
ed,DCX-EMAP
ed,CG15803
CG12679,CG17377
CG12682,rump
CG12692,Rbp9
Pmp70,CG9547
CG12708,CkIIbeta
CG12708,trbl
CG12708,P32
CG1271,eIF4AIII
CG12721,asun
CG12721,Rpb11
CG12721,CG9106
CG12723,CG13511
CG12723,CG15422
CG12723,Rox8
CG12723,CG8541
CG12725,CG3663
CG34324,NimC3
CG34324,CG17826
CG12736,CG6412
Jafrac2,CG15087
Jafrac2,CG9306
RpL28,capt
Hrb87F,CG16894
Hrb87F,CG9106
CG12766,CG13369
CG12766,CG15611
CG12766,mRpS35
CG12766,CG31612
CG12766,kl-5
CG12766,CG6665
CG12766,Shab
Dip3,Dip3
Dip3,krz
Dip3,rev7
Dip3,Fer3HCH
Dip3,inaC
CG12782,l(1)G0136
CG12784,Tom
hoe1,CG32086
hoe1,Pp2B-14D
lcs,eIF-4E
CG12796,Prosalpha3
Ciao1,CG7949
Ubc84D,CG3999
Ubc84D,imd
Ubc84D,ari-2
Ubc84D,Dredd
CG12811,CG15308
Fancl,sol
Fancl,CG32206
Fancl,CG7220
CG12817,ebo
CG12818,ssp
CG12824,grk
esn,CG13321
esn,CG3281
esn,yellow-c
esn,Zpr1
Tsp42El,Bx42
Tsp42Ek,zf30C
CG12849,CG14207
CG12849,slx1
CG12849,CG6506
CG12857,CG13449
CG12857,CG3295
CG12857,CG6617
CG12863,Rab26
CG12863,RpII33
CG12863,NimC1
ALiX,grk
ALiX,CG44098
